,id,DGRP,sex,exp_type,shock_color,shock_arm,treatment,replicates,ZT0,ZT,frac_time_on_shocked,activity,activity_shock,activity_noShock,activity_shock_color,activity_noShock_color,total_choices,correct_choices,incorrect_choices,analysis_time,bias_frac_time_on_shocked,bias_activity,bias_activity_shock,bias_activity_noShock,bias_activity_shock_color,bias_activity_noShock_color,bias_total_choices,bias_correct_choices,bias_incorrect_choices,bias_analysis_time,post_frac_time_on_shocked,post_activity,post_activity_shock,post_activity_noShock,post_activity_shock_color,post_activity_noShock_color,post_total_choices,post_correct_choices,post_incorrect_choices,post_analysis_time,group,group_sex,folder,experiment_date,experiment_by,head_scanned,abs_dev,abs_dev_sex
3576,41,DGRP_801,M,operant_place,green,M,shock,2,11:00:00,12:44:14,0.185948882578096,0.620548420312166,0.813885763686978,0.533656373054017,0.712424433721452,0.447198798283662,23.0,15.0,8.0,1200.0,0.325021496130696,2.17209267034831,,2.17209267034831,2.03261916214664,1.50923813972964,21.0,14.0,7.0,180.0,,,,,,,,,,,dgrp801_shock,dgrp801_shock_male,operant_place/20230428/csv/dgrp801_shock/male,20230428,riddha,True,0.0428263332445777,0.0443612614916187
3624,33,DGRP_805,F,operant_place,green,R,shock,2,16:00:00,16:29:14,0.24930078820239,1.61997490404766,1.41345582456566,1.64244444837086,1.23210032067571,1.53368558429854,68.0,46.0,22.0,1200.0,0.310679611650485,2.21428307200474,,2.21428307200474,1.61200429869207,2.42536798952889,23.0,15.0,8.0,180.0,,,,,,,,,,,dgrp805_shock,dgrp805_shock_female,operant_place/20230428/csv/dgrp805_shock/female,20230428,riddha,True,0.014905886522904,0.0142737724557392
3640,41,DGRP_805,M,operant_place,green,M,shock,2,16:00:00,16:29:14,0.459699974574116,1.25381719503444,1.02882493569103,1.30027858229952,0.943785547473522,1.09138513530735,45.0,27.0,18.0,1200.0,0.255075022065313,2.45017081613274,,2.45017081613274,2.44369008162834,1.69408173136898,21.0,13.0,8.0,180.0,,,,,,,,,,,dgrp805_shock,dgrp805_shock_male,operant_place/20230428/csv/dgrp805_shock/male,20230428,riddha,True,0.195493299848822,0.166313640870179
3688,33,DGRP_892,F,operant_place,green,R,shock,2,11:00:00,14:53:53,0.153902888752305,1.86362503625236,1.65004785510492,1.81049444922285,1.27982087049987,1.65573073811358,86.0,67.0,19.0,1200.0,0.0365335598980459,2.30449604561307,,2.30449604561307,3.1247085181293,2.27087017711013,19.0,16.0,3.0,180.0,,,,,,,,,,,dgrp892_shock,dgrp892_shock_female,operant_place/20230428/csv/dgrp892_shock/female,20230428,riddha,True,0.137351347077145,0.135511344628511
3704,41,DGRP_892,M,operant_place,green,M,shock,2,11:00:00,14:53:53,0.316203589869683,2.17036305669736,1.94586742541966,2.0190529286173,1.87575660139329,1.59459549784525,110.0,69.0,41.0,1200.0,0.429056924384027,2.72507734393439,,2.72507734393439,2.36575550180252,2.39600767197667,21.0,11.0,10.0,180.0,,,,,,,,,,,dgrp892_shock,dgrp892_shock_male,operant_place/20230428/csv/dgrp892_shock/male,20230428,riddha,True,0.024949354040233,0.0231093515915987
3748,5,DGRP_093,F,operant_place,green,M,shock,1,11:00:00,12:00:44,0.449298746431674,1.46776047185913,1.30797266378081,1.37327009840462,1.29413030096621,1.07843937668881,45.0,29.0,16.0,1200.0,0.619827586206897,1.6589574029892,,1.6589574029892,1.49225652746427,1.4896862921239,11.0,6.0,5.0,180.0,,,,,,,,,,,dgrp93_shock,dgrp93_shock_female,operant_place/20230609/csv/dgrp93_shock/female,20230609,riddha,True,0.154203832378496,0.137036887348782
3764,13,DGRP_093,M,operant_place,green,L,shock,1,11:00:00,12:00:44,0.253195978652104,1.84169336329922,1.68030847681609,1.77958073402097,1.46938415271637,1.78678886166285,70.0,55.0,15.0,1200.0,0.382556131260794,2.46070627881505,,2.46070627881505,1.6794450800444,2.14119014213179,19.0,13.0,6.0,180.0,,,,,,,,,,,dgrp93_shock,dgrp93_shock_male,operant_place/20230609/csv/dgrp93_shock/male,20230609,riddha,True,0.0418989354010746,0.0247319903713605
3816,33,DGRP_217,F,operant_place,green,R,shock,2,16:00:00,17:51:18,0.0342491068128619,0.528200284253264,1.70236911152004,0.455878154916319,1.21089486702343,0.370359214899373,23.0,16.0,7.0,1200.0,0.129452649869679,1.60127816413469,,1.60127816413469,2.52081660275018,1.18418056117786,14.0,8.0,6.0,180.0,,,,,,,,,,,dgrp217_shock,dgrp217_shock_female,operant_place/20230612/csv/dgrp217_shock/female,20230612,riddha,True,0.184793506224699,0.182215405334897
3832,41,DGRP_217,M,operant_place,green,M,shock,2,16:00:00,17:51:18,0.372766481823783,1.05203755001528,1.01346405223342,1.0030539014276,0.981545017499411,0.943477618498908,37.0,22.0,15.0,1200.0,0.375868055555556,2.16923555575264,,2.16923555575264,2.00705634225315,1.76967907114241,21.0,13.0,8.0,180.0,,,,,,,,,,,dgrp217_shock,dgrp217_shock_male,operant_place/20230612/csv/dgrp217_shock/male,20230612,riddha,True,0.153723868786222,0.15114576789642
3878,7,DGRP_391,F,operant_place,green,L,shock,1,16:00:00,18:10:41,0.255013242527431,1.62118514240282,1.15641171427712,1.63579364194012,0.974045245923295,1.50931511012543,73.0,55.0,18.0,1200.0,0.387772925764192,1.932828751208,,1.932828751208,1.04563217060713,1.68132908646468,16.0,10.0,6.0,180.0,,,,,,,,,,,dgrp391_shock,dgrp391_shock_female,operant_place/20230619/csv/dgrp391_shock/female,20230619,riddha,True,0.0343665316670226,0.0320667511504278
