,Unnamed: 0,entropy0,entropy1,entropy2,DGRP,Sex,Abs_volume(mm3),Thorax_length,Mean_Ferret_diam(mm),Max_Ferret_diam(mm),H-Ratio,Batch,Replicate
23,22,1.6168526879705485,1.6779443733405264,1.7914077870256988,437,female,0.01989571,0.8,0.87720931,1.03379164,0.01924537714,,1
24,23,1.7923776101004152,1.8039801722673297,1.9341381819016792,595,male,0.0193007752,,0.9750779566,1.097362775,0.01758832689,,1
25,24,1.9019839857298697,1.822767975520488,1.600548109251533,517,male,0.0211826094,,0.9293922322,1.155825907,0.01832681659,,1
26,25,1.7409729143649169,1.757700399813502,1.9899933468817208,843,female,0.023252336,,0.8086474365,0.9236249081,0.02517508547,,1
27,26,1.6715583396953468,1.6888241479703376,1.9209181086379117,176,male,0.0274855377,,0.85320466,1.053775623,0.02608291281,,1
28,27,1.8835808722278875,1.8574627731901967,1.5362837391245614,105,female,0.0157730413,0.85276,0.8166701234,0.9330084347,0.01690557203,,1
29,28,1.6064835227525476,1.6203266408656412,1.595721471058745,359,female,0.0286363201,,0.8740223978,1.020603392,0.02805822547,,1
30,29,1.6403239385528583,1.6893838387285884,1.8346234217312156,437,male,0.01770601,0.73,0.72226019,0.79754602,0.02220061232,,1
31,30,1.8023192978451976,1.7911854227121429,1.8808894666057607,362,male,0.019228766,,0.8606107186,1.040257604,0.01848461951,,1
32,31,1.7364383755729735,1.7994789537769855,1.9601267743793935,390,male,0.01745584,,0.74395155,0.81249597,0.02148421733,,1
33,33,1.616052940464125,1.661240287496372,1.8305659630560425,208,male,0.01917501,,0.80244313,0.92058127,0.02082924194,,1
34,34,1.8058880818498724,1.7819810234007532,2.104433415286889,304,female,0.01875431,0.85,0.75919069,0.9490785,0.01976054668,,1
35,35,1.6550123288744305,1.6408833875794786,1.7598635816249175,32,male,0.0210443043,0.72,0.9278013234,1.071039523,0.01964848527,,1
36,36,1.703184043795741,1.724505485681813,2.2238344638089744,853,female,0.0233395807,,0.8578979526,1.07036522,0.02180524951,,1
37,37,1.71056610211493,1.809984085764556,2.322324310511427,705,male,0.0204733328,,0.8488763135,1.013862405,0.02019340366,,1
38,38,1.754632117662404,1.7525046783853924,1.70918074714718,365,male,0.0220150276,,0.9231223026,1.063261539,0.02070518569,,1
39,39,1.5470237645525475,1.5406045311950265,1.63351253268604,377,male,0.0189170853,,0.9732567653,1.082126736,0.01748139536,,1
40,40,1.7671987869289365,1.785317051343601,2.1266936093802427,390,female,0.01553118,,1.02618187,1.23482388,0.01257764792,,1
41,41,1.872371983351697,1.8857940817350507,2.107636305968565,737,female,0.0154154385,,0.9817767281,1.097917426,0.01404061738,,1
42,43,1.6247742172648711,1.615116747314324,1.720159204647357,820,female,0.0193111239,,1.087889289,1.188159516,0.01625297246,,1
43,44,1.560371423164009,1.5594313494763532,1.6395540037929457,31,male,0.01965287,0.65,0.88338043,1.01138538,0.01943163347,,1
44,44,1.560371423164009,1.5594313494763532,1.6395540037929457,31,male,0.02008547,,,,,,2
45,45,1.8086274096312247,1.864489590882824,2.1068335306609964,737,male,0.0188052985,,0.819493094,0.9629692767,0.01952845117,,1
46,46,1.7668280435633612,1.7565632435747829,1.975274812530943,395,female,0.0163291366,,1.027275708,1.138921013,0.01433737408,,1
47,47,1.6003621120174327,1.6682682799014434,1.7414103545436102,832,male,0.0272056575,,0.861716441,1.041701526,0.02611655721,,1
48,48,1.7660303680088938,1.7003303006823804,1.5040641453115444,787,male,0.0165033026,,0.8114781269,0.8988203274,0.01836106961,,1
49,49,1.576959437086867,1.688169222250837,1.8777512200069832,362,female,0.0175839985,,0.819043765,0.9876101408,0.01780459492,,1
50,50,1.6467082756337184,1.6580077548230212,1.4969959015255996,365,female,0.028210481,,1.02280867,1.229044831,0.02295317493,,1
51,51,1.7358500495611342,1.7329693135044342,1.9276061025042903,900,female,0.0173017284,,1.092932571,1.215251927,0.01423715364,,1
52,52,1.5793000398340022,1.5728842680971904,1.679268330966761,377,female,0.0218757522,,0.994852901,1.099616391,0.0198939852,,1
53,53,1.6186198797144091,1.6247316115415882,1.65962882588092,409,female,0.0181456091,,1.059415352,1.178372746,0.01539887032,,1
54,54,1.6896366023036875,1.731773850698128,1.8733800113166093,879,male,0.01766871,,0.75335873,0.84433708,0.02092613296,,1
55,55,1.8000398319427768,1.7851047798173885,1.6205336974774078,703,male,0.0177631049,0.71564,0.7968525231,1.034614787,0.01716881019,,1
56,56,1.6816875687989816,1.6661762623822924,1.830212483969041,584,male,0.0190592712,,0.969001354,1.089470188,0.01749407319,,1
57,57,1.6495387449654595,1.691358891142213,1.812228749474429,335,male,0.0177087,,0.87210129,1.03255997,0.01715028716,,1
