DGRP,Length,Width,Height,HeightMax,AreaSq,AreaCube,Volume,HullArea,HullVolume,AreaRatio,VolumeRatio
386_female,131.0,138.0,118.0,147.0,3621436,569427,517348,44760.77208205156,706725.4999999999,80.90646857836809,0.7320352810249525
437_female,163.0,181.0,65.0,67.0,3875851,602022,553693,51005.694290737345,819123.3333333322,75.98859409514706,0.6759580364373303
595_male,132.0,144.0,141.0,151.0,3759952,579874,537136,48528.37232640615,761980.1666666669,77.47945829936822,0.7049212348265406
517_male,187.0,101.0,146.0,170.0,4126549,639069,589507,55673.436498435076,936855.666666666,74.12060866973773,0.6292399362833198
843_female,180.0,147.0,102.0,134.0,4529749,694456,647107,53057.10639847935,884637.9999999999,85.37497250565902,0.7314935600776816
176_male,125.0,154.0,87.0,94.0,3663100,564976,523300,42616.447481192496,678458.3333333334,85.95507642012161,0.7713074986181907
105_female,134.0,153.0,87.0,113.0,3072720,480566,438960,43037.42258146862,651211.3333333333,71.39646883322132,0.6740668927752077
359_female,138.0,141.0,145.0,165.0,4257659,659719,608237,51200.772893204645,850756.8333333341,83.15614705427768,0.7149363674422434
437_male,130.0,162.0,84.0,84.0,3449278,533894,492754,42963.60934637738,668652.3333333334,80.28371108655091,0.7369360360167242
362_male,127.0,166.0,94.0,98.0,3745924,576679,535132,44039.52487946857,719649.3333333337,85.0582291760002,0.7436010501410868
390_male,157.0,164.0,63.0,65.0,3400544,525506,485792,42919.62382642239,646511.6666666666,79.23051734452855,0.7514048470380787
91_male,139.0,100.0,167.0,167.0,3715649,575102,530807,45263.684557881104,707113.0000000007,82.08896461463715,0.7506678564812123
208_male,154.0,140.0,102.0,123.0,3735452,580031,533636,46258.248638977486,741098.8333333334,80.75212767247926,0.720060504750491
48_female,162.0,140.0,117.0,165.0,4078627,633635,582661,54062.796104132576,866863.0000000002,75.44239835734705,0.6721488862715329
304_female,148.0,127.0,99.0,137.0,3653566,563640,521938,46053.077675654946,735321.1666666669,79.33380751947846,0.7098095684720076
32_male,170.0,162.0,67.0,78.0,4099606,632790,585658,47540.1888122669,769047.1666666681,86.23453340055245,0.7615371662292914
853_female,158.0,182.0,78.0,102.0,3753288,582865,536184,52294.94374141561,849322.6666666663,71.77152763676344,0.6313077715261733
101_female,132.0,176.0,101.0,130.0,3264303,510093,466329,51183.83504008429,801505.9999999993,63.7760534638247,0.5818159814149868
705_male,138.0,187.0,74.0,77.0,3586380,554945,512340,47797.03083055152,743916.1666666672,75.03353111439742,0.6887066351786498
365_male,118.0,184.0,79.0,104.0,4189822,643174,598546,48519.68961843793,785169.6666666671,86.3530256056673,0.7623142174366555
153_female,141.0,113.0,160.0,183.0,3739589,581681,534227,50162.29275396876,813857.8333333329,74.54980214603786,0.6564131696219675
377_male,169.0,94.0,93.0,99.0,3685206,568450,526458,43337.220370672156,710270.4999999998,85.03558761913375,0.7412077511314353
390_female,148.0,183.0,58.0,62.0,3025603,472471,432229,43233.47461775375,626130.4999999998,69.9828784697666,0.6903177532479254
737_female,153.0,174.0,84.0,99.0,3003056,466429,429008,43790.379818209636,613462.1666666664,68.57798476438927,0.6993226694501403
176_female,150.0,127.0,143.0,156.0,4770738,738228,681534,55850.59363663503,1009466.8333333337,85.41964712207908,0.6751425381154175
820_female,148.0,68.0,184.0,184.0,3761968,583766,537424,49829.153547167865,791524.9999999997,75.49732901721785,0.6789728688291592
31_male,157.0,160.0,73.0,84.0,3840179,595592,548597,46470.75357951149,749587.0000000015,82.63646926726616,0.7318656807015048
737_male,134.0,169.0,102.0,120.0,3663429,567167,523347,48889.2847982568,803346.8333333331,74.93316818025171,0.651458346861806
395_female,103.0,175.0,78.0,99.0,3181052,491165,454436,43288.46882444334,633534.6666666662,73.48497385991583,0.7173024996264351
832_male,125.0,144.0,158.0,160.0,5299889,814661,757127,57323.15895142111,1126228.833333333,92.45633173306841,0.6722674625183487
787_male,141.0,128.0,89.0,112.0,2901563,453731,414509,40543.503015261114,598566.8333333328,71.56665764445201,0.6925024523855738
362_female,106.0,124.0,137.0,153.0,3288467,511672,469781,41409.9200508404,624707.3333333335,79.41254163163403,0.7520017373468748
131_male,132.0,150.0,98.0,135.0,3521000,546468,503000,45305.25087476489,717259.4999999993,77.71726084759865,0.7012803594793802
181_female,152.0,78.0,159.0,160.0,3454703,533862,493529,42901.02864268638,667282.0000000006,80.52727660153542,0.739610839195422
365_female,148.0,108.0,157.0,178.0,4497367,693200,642481,53063.63225341571,897961.3333333324,84.75422448508516,0.715488491709369
900_female,133.0,78.0,177.0,177.0,3370521,518860,481503,43073.105846572704,654246.4999999998,78.25117167092306,0.7359657254566897
377_female,171.0,175.0,88.0,96.0,4261579,655488,608797,52519.12925203348,883211.4999999986,81.14336739189172,0.68929922221348
409_female,116.0,184.0,77.0,78.0,3534916,551002,504988,46060.82411798114,734522.666666666,76.74452352275752,0.6875049919040398
879_male,145.0,147.0,105.0,133.0,3442012,535880,491716,46047.74557338659,711655.3333333333,74.74876255373768,0.6909468347505301
703_male,147.0,66.0,158.0,158.0,3460401,537244,494343,44003.22626322978,692462.0000000013,78.63971108163038,0.7138918814317595
