DGRP	sex	mean_frac	mean_ls	mean_ns_frac	mean_ns_ls	cohen.d_frac	p.value_frac	cohen.d_ls	p.value_ls	LSM_frac	LSM_frac_se	LSM_ls	LSM_ls_se	KL_frac	KL_ls	en_s_frac	en_ns_frac	en_s_ls	en_ns_ls
DGRP_313	M	0.229330024029341	0.171046275697608	0.27073900763037	-1.13032642393242	0.483061251572151	0.184377242105298	-0.85134954785386	0.0243202473804701	0.0597347710412639	0.0296503208382165	0.101628664697732	0.524080271144487	0.174154291972984	0.0987821554217522	1.08219553003877	0.882310924515076	1.36868963762284	1.4740568252732
DGRP_313	F	0.205116623606569	-0.40225574689431	0.299371864592555	0.0483678357520922	0.891305615736887	0.0297292589129703	0.228507583202682	0.523006696728063	0.0782781061099242	0.0326526903595571	0.101628664697732	0.524080271144487	4.97704151996398	2.51734808767519	1.10326349884835	0.690923309313818	1.2996509635499	1.30509637194834
DGRP_721	NA	0.26058785942492	-0.233163385497547	0.274419595314164	-0.282620954314692	0.129051953151376	0.61923607728174	-0.0251962939520327	0.920617485358228	0.0101028787149805	0.0221897254830158	-0.0845217885524761	0.527927857264764	0.57873388916031	0.083615093688322	1.81171876537557	1.52887832732422	1.66369512490583	1.81413640954884
DGRP_721	M	0.305615015974441	-0.765878346902548	0.300199680511182	-0.0912157423906031	-0.0631999219704905	0.859344458048436	0.471769398908796	0.194489252016486	-0.00238180775379979	0.0291507754044461	-0.0845217885524761	0.527927857264764	0	0.217677585668917	0.830523691482846	0.830523691482846	1.42444277850362	1.46147212930402
DGRP_721	F	0.209128251939754	0.299551575907454	0.244956640803286	-0.486786513700387	0.307177163895567	0.424488989386357	-0.331286487735536	0.361178581664064	0.0270855294672923	0.0330498488601963	-0.0845217885524761	0.527927857264764	0.836834166188336	0.0792214271030076	1.19734013399678	0.892117870818816	1.1573732982229	1.0625354080616
DGRP_808	NA	0.215156565591315	0.185998062352999	0.348424295408184	-0.0363004166723787	1.09105328855673	9.71867665912227e-05	-0.117397480969064	0.644795723825022	0.102225282500658	0.0222365173713587	-0.275730278951695	0.528035335458653	2.96771996708888	0.255016643874596	1.7771367245622	1.77506161000163	2.01082768777404	2.02249104260142
DGRP_808	M	0.220039608199968	1.21885787041644	0.345736543024853	-0.592368500526727	1.13934949071961	0.00560523956001836	-0.996613859352294	0.0115296473971341	0.104079891195047	0.0296204412262308	-0.275730278951695	0.528035335458653	2.79143764615288	0.114222733250835	1.17099712611621	1.04335342694229	1.49436508345339	1.24401669579289
DGRP_808	F	0.210599059156571	-0.782308007706479	0.351496012417706	0.519767667181969	1.02645406494193	0.0116086477579308	0.787396266689945	0.0336472762308389	0.0946747741211413	0.0326452898852201	-0.275730278951695	0.528035335458653	3.33302285370141	0.802721836901658	1.17105986999037	1.17099712611621	1.27671970477818	1.2996509635499
DGRP_765	NA	0.294977855770034	-0.413492850306262	0.301963733600735	-0.562916253565658	0.0620079787491634	0.811081006953563	-0.0850319764361444	0.735994136437975	-0.0113113864383339	0.0221741531142213	-0.129124329145621	0.527841668172248	0.47028513164916	0.280493257944514	1.57545810507502	1.67593014807674	1.69443212772165	2.1143344726653
DGRP_765	M	0.298296878917022	-0.17439400642673	0.279752653129439	-0.41930882956673	-0.145429375798488	0.686407671209485	-0.11448008275821	0.749604153737321	-0.0162104949141154	0.0295873888692681	-0.129124329145621	0.527841668172248	0.733347214450252	0.188030231843884	1.19007630720819	1.21055784417747	1.16018624397852	1.48975031885059
